Module,Pattern,Role,Signal
acc_dispatcher,Availability,trigger,acc_dcache_req_ports_i
acc_dispatcher,Availability,trigger,acc_dcache_req_ports_o
acc_dispatcher,Availability,trigger,acc_fflags_valid_o
acc_dispatcher,Availability,trigger,acc_mmu_req_o
acc_dispatcher,Availability,trigger,acc_mmu_req_t
acc_dispatcher,Availability,trigger,acc_req_o
acc_dispatcher,Availability,trigger,acc_req_t
acc_dispatcher,Availability,trigger,acc_valid_ex_o
acc_dispatcher,Availability,trigger,acc_valid_o
acc_dispatcher,Availability,trigger,dcache_req_i_t
acc_dispatcher,Availability,trigger,dcache_req_o_t
acc_dispatcher,Availability,trigger,dcache_req_ports_i
acc_dispatcher,Availability,trigger,inval_valid_o
acc_dispatcher,Availability,payload,acc_fflags_valid_o
acc_dispatcher,Availability,payload,acc_stall_st_pending_o
acc_dispatcher,Availability,payload,acc_valid_ex_o
acc_dispatcher,Availability,payload,acc_valid_o
acc_dispatcher,Availability,payload,commit_ack_i
acc_dispatcher,Availability,payload,inval_ready_i
acc_dispatcher,Availability,payload,inval_valid_o
acc_dispatcher,Availability,payload,issue_stall_o
acc_dispatcher,Covert,trigger,fu_data_i
acc_dispatcher,Covert,trigger,fu_data_t
acc_dispatcher,Covert,payload,acc_fflags_valid_o
acc_dispatcher,Covert,payload,acc_result_o
acc_dispatcher,Covert,payload,acc_valid_ex_o
acc_dispatcher,Covert,payload,acc_valid_o
acc_dispatcher,Covert,payload,fu_data_i
acc_dispatcher,Covert,payload,fu_data_t
acc_dispatcher,Covert,payload,inval_ready_i
acc_dispatcher,Covert,payload,inval_valid_o
acc_dispatcher,DoS,trigger,acc_cons_en_i
acc_dispatcher,DoS,trigger,acc_dcache_req_ports_i
acc_dispatcher,DoS,trigger,acc_dcache_req_ports_o
acc_dispatcher,DoS,trigger,acc_fflags_valid_o
acc_dispatcher,DoS,trigger,acc_mmu_en_i
acc_dispatcher,DoS,trigger,acc_mmu_req_o
acc_dispatcher,DoS,trigger,acc_mmu_req_t
acc_dispatcher,DoS,trigger,acc_req_o
acc_dispatcher,DoS,trigger,acc_req_t
acc_dispatcher,DoS,trigger,acc_valid_ex_o
acc_dispatcher,DoS,trigger,acc_valid_o
acc_dispatcher,DoS,trigger,dcache_req_i_t
acc_dispatcher,DoS,trigger,dcache_req_o_t
acc_dispatcher,DoS,trigger,dcache_req_ports_i
acc_dispatcher,DoS,trigger,inval_ready_i
acc_dispatcher,DoS,trigger,inval_valid_o
acc_dispatcher,DoS,payload,acc_cons_en_i
acc_dispatcher,DoS,payload,acc_dcache_req_ports_i
acc_dispatcher,DoS,payload,acc_dcache_req_ports_o
acc_dispatcher,DoS,payload,acc_fflags_valid_o
acc_dispatcher,DoS,payload,acc_mmu_en_i
acc_dispatcher,DoS,payload,acc_mmu_req_o
acc_dispatcher,DoS,payload,acc_mmu_req_t
acc_dispatcher,DoS,payload,acc_req_o
acc_dispatcher,DoS,payload,acc_req_t
acc_dispatcher,DoS,payload,acc_valid_ex_o
