Module,Pattern,Role,Signal
Axi4LitePlToPsControlRegister,Availability,payload,done
Axi4LitePlToPsControlRegister,Covert,trigger,memory_data
Axi4LitePlToPsControlRegister,Covert,payload,memory_data
Axi4LitePlToPsControlRegister,DoS,trigger,memory_we
Axi4LitePlToPsControlRegister,DoS,trigger,we
Axi4LitePlToPsControlRegister,DoS,payload,done
Axi4LitePlToPsControlRegister,DoS,payload,memory_we
Axi4LitePlToPsControlRegister,DoS,payload,we
Axi4LitePlToPsControlRegister,Integrity,trigger,memory_addr
Axi4LitePlToPsControlRegister,Integrity,trigger,memory_data
Axi4LitePlToPsControlRegister,Integrity,payload,memory_data
Axi4LitePlToPsControlRegister,Leak,trigger,memory_we
Axi4LitePlToPsControlRegister,Leak,trigger,we
Axi4LitePlToPsControlRegister,Leak,payload,memory_addr
Axi4LitePlToPsControlRegister,Leak,payload,memory_data
Axi4LitePlToPsControlRegister,Privilege,trigger,memory_addr
Axi4LitePlToPsControlRegister,Privilege,trigger,memory_we
Axi4LitePlToPsControlRegister,Privilege,trigger,we
BitCounter,Availability,payload,stall
BitCounter,Covert,trigger,dataOut
BitCounter,Covert,payload,dataOut
BitCounter,Integrity,trigger,dataOut
BitCounter,Integrity,payload,dataOut
BitCounter,Leak,payload,dataOut
BlockDualPortRAM,DoS,trigger,we
BlockDualPortRAM,DoS,payload,we
BlockDualPortRAM,Integrity,payload,WRITE_NUM
BlockDualPortRAM,Leak,trigger,WRITE_NUM
BlockDualPortRAM,Leak,trigger,we
BlockDualPortRAM,Privilege,trigger,WRITE_NUM
BlockDualPortRAM,Privilege,trigger,we
BypassCtrlStage,Availability,trigger,LOAD_ISSUE_WIDTH
BypassCtrlStage,Covert,trigger,LOAD_ISSUE_WIDTH
BypassCtrlStage,Covert,payload,out
BypassCtrlStage,Integrity,payload,out
BypassCtrlStage,Leak,payload,out
BypassStage,Availability,trigger,LOAD_ISSUE_WIDTH
BypassStage,Covert,trigger,LOAD_ISSUE_WIDTH
BypassStage,Covert,payload,out
BypassStage,Integrity,trigger,sel
BypassStage,Integrity,payload,out
BypassStage,Leak,payload,out
ControlQueue,Covert,trigger,`PS_PL_CTRL_QUEUE_DATA_BIT_SIZE-1:0
ControlQueue,Covert,payload,`PS_PL_CTRL_QUEUE_DATA_BIT_SIZE-1:0
ControlQueue,Integrity,trigger,`PS_PL_CTRL_QUEUE_DATA_BIT_SIZE-1:0
ControlQueue,Integrity,payload,`PS_PL_CTRL_QUEUE_DATA_BIT_SIZE-1:0
ControlQueue,Leak,payload,`PS_PL_CTRL_QUEUE_DATA_BIT_SIZE-1:0
DecodedBranchResolver,Availability,payload,stall
Decoder,Availability,trigger,OpInfo
Decoder,Availability,trigger,op
Decoder,Availability,trigger,opInfo
Decoder,Integrity,trigger,OpInfo
Decoder,Integrity,trigger,op
Decoder,Integrity,trigger,opInfo
Divider,Availability,trigger,req
Divider,DoS,trigger,req
Divider,DoS,payload,req
DividerUnit,Availability,trigger,req
DividerUnit,Availability,payload,stall
DividerUnit,Covert,trigger,dataOut
DividerUnit,Covert,payload,dataOut
DividerUnit,DoS,trigger,req
DividerUnit,DoS,payload,req
DividerUnit,Integrity,trigger,dataOut
DividerUnit,Integrity,payload,dataOut
DividerUnit,Leak,payload,dataOut
FP32DivSqrter,Availability,trigger,req
FP32DivSqrter,Covert,payload,result
FP32DivSqrter,DoS,trigger,req
FP32DivSqrter,DoS,payload,req
FP32DivSqrter,Integrity,payload,result
FP32DivSqrter,Leak,payload,result
FP32PipelinedAdder,Covert,payload,result
FP32PipelinedAdder,Integrity,payload,result
FP32PipelinedAdder,Leak,payload,result
FP32PipelinedFMA,Covert,payload,fma_result
FP32PipelinedFMA,Covert,payload,result
FP32PipelinedFMA,Integrity,payload,fma_result
FP32PipelinedFMA,Integrity,payload,result
FP32PipelinedFMA,Leak,payload,fma_result
FP32PipelinedFMA,Leak,payload,result
FP32PipelinedMultiplier,Covert,payload,result
FP32PipelinedMultiplier,Integrity,payload,result
FP32PipelinedMultiplier,Leak,payload,result
FP32PipelinedOther,Covert,payload,result
FP32PipelinedOther,Integrity,payload,result
FP32PipelinedOther,Leak,trigger,Rounding_Mode
FP32PipelinedOther,Leak,payload,result
FP32PipelinedOther,Privilege,trigger,Rounding_Mode
FP32PipelinedOther,Privilege,payload,Rounding_Mode
FlipFlop,Covert,payload,out
FlipFlop,DoS,trigger,we
FlipFlop,DoS,payload,we
FlipFlop,Integrity,payload,out
FlipFlop,Leak,trigger,we
FlipFlop,Leak,payload,out
FlipFlop,Privilege,trigger,we
ICacheArray,Availability,trigger,valid
ICacheArray,Availability,payload,valid
ICacheArray,Covert,trigger,FETCH_WIDTH
ICacheArray,Covert,payload,valid
ICacheArray,DoS,trigger,valid
ICacheArray,DoS,trigger,we
ICacheArray,DoS,payload,valid
ICacheArray,DoS,payload,we
ICacheArray,Integrity,payload,writeIndex
ICacheArray,Leak,trigger,we
ICacheArray,Leak,trigger,writeIndex
ICacheArray,Privilege,trigger,we
ICacheArray,Privilege,trigger,writeIndex
IntegerRegisterReadStage,Availability,trigger,OpOperandType
IntegerRegisterReadStage,Integrity,trigger,OpOperandType
LRU_Counter,Covert,trigger,access
Main,Leak,trigger,RSD_DISABLE_DEBUG_REGISTER
Main,Leak,payload,RSD_DISABLE_DEBUG_REGISTER
Main_Zynq,Leak,trigger,RSD_DISABLE_DEBUG_REGISTER
Main_Zynq,Leak,payload,RSD_DISABLE_DEBUG_REGISTER
MemoryRegisterReadStage,Availability,trigger,OpOperandType
MemoryRegisterReadStage,Integrity,trigger,OpOperandType
MicroOpPicker,Availability,trigger,req
MicroOpPicker,DoS,trigger,req
MicroOpPicker,DoS,payload,req
Multiplier,Availability,payload,stall
Multiplier,Covert,payload,out
Multiplier,Integrity,payload,out
Multiplier,Leak,payload,out
MultiplierUnit,Availability,payload,stall
MultiplierUnit,Covert,trigger,dataOut
MultiplierUnit,Covert,payload,dataOut
MultiplierUnit,Integrity,trigger,dataOut
MultiplierUnit,Integrity,payload,dataOut
MultiplierUnit,Leak,payload,dataOut
OrgShifter,Covert,trigger,dataIn
OrgShifter,Covert,trigger,dataOut
OrgShifter,Covert,payload,dataIn
OrgShifter,Covert,payload,dataOut
OrgShifter,Integrity,trigger,dataIn
OrgShifter,Integrity,trigger,dataOut
OrgShifter,Integrity,payload,dataIn
OrgShifter,Integrity,payload,dataOut
OrgShifter,Leak,payload,dataIn
OrgShifter,Leak,payload,dataOut
Picker,Availability,trigger,req
Picker,Availability,trigger,request
Picker,Availability,payload,grant
Picker,DoS,trigger,req
Picker,DoS,trigger,request
Picker,DoS,payload,req
PipelinedRefDivider,Availability,payload,stall
ProducerMatrix,Availability,trigger,STORE_ISSUE_WIDTH
ProducerMatrix,Integrity,payload,STORE_ISSUE_WIDTH
ProducerMatrix,Leak,payload,ISSUE_QUEUE_SRC_REG_NUM
ProducerMatrix,Leak,payload,ISSUE_QUEUE_SRC_REG_NUM-1:0
ReadyBitTable,Availability,trigger,SRC_OP_NUM
ReadyBitTable,Integrity,trigger,SRC_OP_NUM
RefDivider,Availability,trigger,req
RefDivider,DoS,trigger,req
RefDivider,DoS,payload,req
RenameStageSerializer,Availability,trigger,OpInfo
RenameStageSerializer,Availability,trigger,opInfo
RenameStageSerializer,Availability,trigger,storeQueueEmpty
RenameStageSerializer,Availability,trigger,valid
RenameStageSerializer,Availability,payload,stall
RenameStageSerializer,Availability,payload,valid
RenameStageSerializer,Covert,payload,valid
RenameStageSerializer,DoS,trigger,valid
RenameStageSerializer,DoS,payload,valid
RenameStageSerializer,Integrity,trigger,OpInfo
RenameStageSerializer,Integrity,trigger,opInfo
RenameStageSerializer,Integrity,payload,storeQueueEmpty
StoreQueue,Covert,trigger,dataIn
StoreQueue,Covert,trigger,dataOut
StoreQueue,Covert,payload,dataIn
StoreQueue,Covert,payload,dataOut
StoreQueue,Integrity,trigger,addr
StoreQueue,Integrity,trigger,dataIn
StoreQueue,Integrity,trigger,dataOut
StoreQueue,Integrity,payload,dataIn
StoreQueue,Integrity,payload,dataOut
StoreQueue,Leak,trigger,mode
StoreQueue,Leak,payload,addr
StoreQueue,Leak,payload,dataIn
StoreQueue,Leak,payload,dataOut
StoreQueue,Privilege,trigger,addr
StoreQueue,Privilege,trigger,mode
StoreQueue,Privilege,payload,mode
TestBlockDualPortRAM_Top,DoS,trigger,we
TestBlockDualPortRAM_Top,DoS,payload,we
TestBlockDualPortRAM_Top,Leak,trigger,we
TestBlockDualPortRAM_Top,Privilege,trigger,we
TestBlockMultiPortRAM_Top,DoS,trigger,we
TestBlockMultiPortRAM_Top,DoS,payload,we
TestBlockMultiPortRAM_Top,Integrity,payload,WRITE_NUM
TestBlockMultiPortRAM_Top,Leak,trigger,WRITE_NUM
TestBlockMultiPortRAM_Top,Leak,trigger,we
TestBlockMultiPortRAM_Top,Privilege,trigger,WRITE_NUM
TestBlockMultiPortRAM_Top,Privilege,trigger,we
TestCacheSystemTop,Covert,trigger,FETCH_WIDTH-1:0
TestDistributedDualPortRAM_Top,DoS,trigger,we
TestDistributedDualPortRAM_Top,DoS,payload,we
TestDistributedDualPortRAM_Top,Leak,trigger,we
TestDistributedDualPortRAM_Top,Privilege,trigger,we
TestDistributedMultiBankRAM_Top,DoS,trigger,we
TestDistributedMultiBankRAM_Top,DoS,payload,we
TestDistributedMultiBankRAM_Top,Integrity,payload,WRITE_NUM
TestDistributedMultiBankRAM_Top,Leak,trigger,WRITE_NUM
TestDistributedMultiBankRAM_Top,Leak,trigger,we
TestDistributedMultiBankRAM_Top,Privilege,trigger,WRITE_NUM
TestDistributedMultiBankRAM_Top,Privilege,trigger,we
TestDistributedMultiPortRAM_Top,DoS,trigger,we
TestDistributedMultiPortRAM_Top,DoS,payload,we
TestDistributedMultiPortRAM_Top,Integrity,payload,WRITE_NUM
TestDistributedMultiPortRAM_Top,Leak,trigger,WRITE_NUM
TestDistributedMultiPortRAM_Top,Leak,trigger,we
TestDistributedMultiPortRAM_Top,Privilege,trigger,WRITE_NUM
TestDistributedMultiPortRAM_Top,Privilege,trigger,we
TestDistributedSharedMultiPortRAM_Top,DoS,trigger,we
TestDistributedSharedMultiPortRAM_Top,DoS,payload,we
TestDistributedSharedMultiPortRAM_Top,Leak,trigger,we
TestDistributedSharedMultiPortRAM_Top,Privilege,trigger,we
TestDistributedSinglePortRAM_Top,DoS,trigger,we
TestDistributedSinglePortRAM_Top,DoS,payload,we
TestDistributedSinglePortRAM_Top,Leak,trigger,we
TestDistributedSinglePortRAM_Top,Privilege,trigger,we
TestICacheSystemTop,Covert,trigger,FETCH_WIDTH-1:0
TestICacheTop,Covert,trigger,FETCH_WIDTH-1:0
TestInitializedBlockRAM_Top,DoS,trigger,we
TestInitializedBlockRAM_Top,DoS,payload,we
TestInitializedBlockRAM_Top,Leak,trigger,we
TestInitializedBlockRAM_Top,Privilege,trigger,we
TestLRU_CounterTop,Covert,trigger,access
TestRefDividerTop,Availability,trigger,req
TestRefDividerTop,DoS,trigger,req
TestRefDividerTop,DoS,payload,req
TestRegisterMultiPortRAM_Top,DoS,trigger,we
TestRegisterMultiPortRAM_Top,DoS,payload,we
TestRegisterMultiPortRAM_Top,Integrity,payload,WRITE_NUM
TestRegisterMultiPortRAM_Top,Leak,trigger,WRITE_NUM
TestRegisterMultiPortRAM_Top,Leak,trigger,we
TestRegisterMultiPortRAM_Top,Privilege,trigger,WRITE_NUM
TestRegisterMultiPortRAM_Top,Privilege,trigger,we
TestSourceCAM_Top,Availability,trigger,SRC_OP_NUM-1:0
TestSourceCAM_Top,Integrity,trigger,SRC_OP_NUM-1:0
Top,Leak,trigger,RSD_DISABLE_DEBUG_REGISTER
Top,Leak,payload,RSD_DISABLE_DEBUG_REGISTER
for,Availability,trigger,SRC_OP_NUM
for,Integrity,trigger,SRC_OP_NUM
is,Availability,trigger,loadIssueReq
is,Availability,trigger,storeIssueReq
is,Availability,payload,stall
is,Covert,trigger,loadIssueReq
is,Integrity,payload,storeIssueReq
is,Integrity,payload,write
is,Leak,trigger,write
is,Privilege,trigger,write
logic,Availability,trigger,loadQueueHeadPtr
logic,Availability,trigger,loadQueueRecoveryTailPtr
logic,Availability,trigger,storeQueueHeadPtr
logic,Availability,trigger,storeQueueRecoveryTailPtr
logic,Covert,trigger,loadQueueHeadPtr
logic,Covert,trigger,loadQueueRecoveryTailPtr
logic,Integrity,payload,storeQueueHeadPtr
logic,Integrity,payload,storeQueueRecoveryTailPtr
