Module,Pattern,Role,Signal
ibex_alu,Availability,trigger,ibex_pkg::alu_op_e
ibex_alu,Covert,trigger,multdiv_operand_a_i
ibex_alu,Covert,trigger,multdiv_operand_b_i
ibex_alu,Covert,trigger,operand_a_i
ibex_alu,Covert,trigger,operand_b_i
ibex_alu,Covert,payload,adder_result_ext_o
ibex_alu,Covert,payload,adder_result_o
ibex_alu,Covert,payload,comparison_result_o
ibex_alu,Covert,payload,is_equal_result_o
ibex_alu,Covert,payload,result_o
ibex_alu,DoS,trigger,imd_val_we_o
ibex_alu,DoS,payload,imd_val_we_o
ibex_alu,Integrity,trigger,ibex_pkg::alu_op_e
ibex_alu,Integrity,trigger,multdiv_sel_i
ibex_alu,Integrity,trigger,operator_i
ibex_alu,Integrity,payload,adder_result_ext_o
ibex_alu,Integrity,payload,adder_result_o
ibex_alu,Integrity,payload,comparison_result_o
ibex_alu,Integrity,payload,is_equal_result_o
ibex_alu,Integrity,payload,result_o
ibex_alu,Leak,trigger,imd_val_we_o
ibex_alu,Leak,payload,adder_result_ext_o
ibex_alu,Leak,payload,adder_result_o
ibex_alu,Leak,payload,comparison_result_o
ibex_alu,Leak,payload,is_equal_result_o
ibex_alu,Leak,payload,multdiv_operand_a_i
ibex_alu,Leak,payload,multdiv_operand_b_i
ibex_alu,Leak,payload,operand_a_i
ibex_alu,Leak,payload,operand_b_i
ibex_alu,Leak,payload,result_o
ibex_alu,Privilege,trigger,imd_val_we_o
ibex_branch_predict,Availability,trigger,fetch_valid_i
ibex_branch_predict,Availability,payload,fetch_valid_i
ibex_branch_predict,Covert,trigger,fetch_pc_i
ibex_branch_predict,Covert,trigger,fetch_rdata_i
ibex_branch_predict,Covert,trigger,fetch_valid_i
ibex_branch_predict,Covert,payload,fetch_valid_i
ibex_branch_predict,DoS,trigger,fetch_valid_i
ibex_branch_predict,DoS,payload,fetch_valid_i
ibex_branch_predict,Integrity,payload,fetch_rdata_i
ibex_branch_predict,Leak,payload,fetch_rdata_i
ibex_controller,Availability,trigger,debug_req_i
ibex_controller,Availability,trigger,instr_req_o
ibex_controller,Availability,trigger,instr_valid_clear_o
ibex_controller,Availability,trigger,instr_valid_i
ibex_controller,Availability,trigger,load_err_i
ibex_controller,Availability,trigger,lsu_addr_last_i
ibex_controller,Availability,trigger,store_err_i
ibex_controller,Availability,trigger,trigger_match_i
ibex_controller,Availability,payload,ctrl_busy_o
ibex_controller,Availability,payload,id_in_ready_o
ibex_controller,Availability,payload,instr_valid_clear_o
ibex_controller,Availability,payload,instr_valid_i
ibex_controller,Availability,payload,ready_wb_i
ibex_controller,Availability,payload,stall_id_i
ibex_controller,Availability,payload,stall_wb_i
ibex_controller,Covert,trigger,instr_fetch_err_i
ibex_controller,Covert,trigger,instr_fetch_err_plus2_i
ibex_controller,Covert,trigger,load_err_i
ibex_controller,Covert,payload,ctrl_busy_o
ibex_controller,Covert,payload,id_in_ready_o
ibex_controller,Covert,payload,instr_valid_clear_o
ibex_controller,Covert,payload,instr_valid_i
ibex_controller,Covert,payload,ready_wb_i
ibex_controller,DoS,trigger,debug_req_i
ibex_controller,DoS,trigger,id_in_ready_o
ibex_controller,DoS,trigger,instr_req_o
ibex_controller,DoS,trigger,instr_valid_clear_o
ibex_controller,DoS,trigger,instr_valid_i
ibex_controller,DoS,trigger,ready_wb_i
ibex_controller,DoS,trigger,trigger_match_i
ibex_controller,DoS,payload,debug_req_i
ibex_controller,DoS,payload,id_in_ready_o
ibex_controller,DoS,payload,instr_req_o
ibex_controller,DoS,payload,instr_valid_clear_o
ibex_controller,DoS,payload,instr_valid_i
ibex_controller,DoS,payload,ready_wb_i
ibex_controller,Integrity,trigger,ibex_pkg::exc_pc_sel_e
ibex_controller,Integrity,trigger,ibex_pkg::pc_sel_e
ibex_controller,Integrity,trigger,lsu_addr_last_i
ibex_controller,Integrity,payload,store_err_i
ibex_controller,Leak,trigger,csr_mstatus_mie_i
ibex_controller,Leak,trigger,csr_mtval_o
ibex_controller,Leak,trigger,csr_pipe_flush_i
ibex_controller,Leak,trigger,csr_restore_dret_id_o
ibex_controller,Leak,trigger,csr_restore_mret_id_o
ibex_controller,Leak,trigger,csr_save_cause_o
ibex_controller,Leak,trigger,csr_save_id_o
ibex_controller,Leak,trigger,csr_save_if_o
ibex_controller,Leak,trigger,csr_save_wb_o
ibex_controller,Leak,trigger,debug_cause_o
ibex_controller,Leak,trigger,debug_csr_save_o
ibex_controller,Leak,trigger,debug_ebreakm_i
ibex_controller,Leak,trigger,debug_ebreaku_i
ibex_controller,Leak,trigger,debug_mode_entering_o
ibex_controller,Leak,trigger,debug_mode_o
ibex_controller,Leak,trigger,debug_req_i
ibex_controller,Leak,trigger,debug_single_step_i
ibex_controller,Leak,trigger,nmi_mode_o
ibex_controller,Leak,trigger,priv_mode_i
ibex_controller,Leak,payload,csr_mstatus_mie_i
ibex_controller,Leak,payload,csr_mtval_o
ibex_controller,Leak,payload,csr_pipe_flush_i
ibex_controller,Leak,payload,csr_restore_dret_id_o
ibex_controller,Leak,payload,csr_restore_mret_id_o
ibex_controller,Leak,payload,csr_save_cause_o
ibex_controller,Leak,payload,csr_save_id_o
ibex_controller,Leak,payload,csr_save_if_o
ibex_controller,Leak,payload,csr_save_wb_o
ibex_controller,Leak,payload,debug_csr_save_o
ibex_controller,Leak,payload,lsu_addr_last_i
ibex_controller,Privilege,trigger,csr_mstatus_mie_i
ibex_controller,Privilege,trigger,csr_mtval_o
ibex_controller,Privilege,trigger,csr_pipe_flush_i
ibex_controller,Privilege,trigger,csr_restore_dret_id_o
ibex_controller,Privilege,trigger,csr_restore_mret_id_o
ibex_controller,Privilege,trigger,csr_save_cause_o
ibex_controller,Privilege,trigger,csr_save_id_o
ibex_controller,Privilege,trigger,csr_save_if_o
ibex_controller,Privilege,trigger,csr_save_wb_o
ibex_controller,Privilege,trigger,debug_csr_save_o
ibex_controller,Privilege,trigger,debug_mode_entering_o
ibex_controller,Privilege,trigger,debug_mode_o
ibex_controller,Privilege,trigger,lsu_addr_last_i
ibex_controller,Privilege,trigger,nmi_mode_o
ibex_controller,Privilege,trigger,priv_mode_i
ibex_controller,Privilege,payload,csr_mstatus_mie_i
ibex_controller,Privilege,payload,debug_mode_entering_o
ibex_controller,Privilege,payload,debug_mode_o
ibex_controller,Privilege,payload,ibex_pkg::priv_lvl_e
ibex_controller,Privilege,payload,nmi_mode_o
ibex_controller,Privilege,payload,priv_mode_i
ibex_counter,DoS,trigger,counter_we_i
ibex_counter,DoS,trigger,counterh_we_i
ibex_counter,DoS,payload,counter_we_i
ibex_counter,DoS,payload,counterh_we_i
ibex_counter,Leak,trigger,counter_we_i
ibex_counter,Leak,trigger,counterh_we_i
ibex_counter,Privilege,trigger,counter_we_i
ibex_counter,Privilege,trigger,counterh_we_i
ibex_cs_registers,Availability,trigger,csr_op_en_i
ibex_cs_registers,Availability,trigger,csr_op_i
ibex_cs_registers,Availability,trigger,ibex_pkg::csr_op_e
ibex_cs_registers,Availability,trigger,ic_scr_key_valid_i
ibex_cs_registers,Availability,trigger,mem_load_i
ibex_cs_registers,Availability,trigger,mem_store_i
ibex_cs_registers,Availability,trigger,priv_mode_lsu_o
ibex_cs_registers,Availability,trigger,trigger_match_o
ibex_cs_registers,Availability,payload,div_wait_i
ibex_cs_registers,Availability,payload,dside_wait_i
ibex_cs_registers,Availability,payload,ic_scr_key_valid_i
ibex_cs_registers,Availability,payload,iside_wait_i
ibex_cs_registers,Availability,payload,mul_wait_i
ibex_cs_registers,Covert,trigger,csr_access_i
ibex_cs_registers,Covert,trigger,data_ind_timing_o
ibex_cs_registers,Covert,trigger,ic_scr_key_valid_i
ibex_cs_registers,Covert,trigger,mem_load_i
ibex_cs_registers,Covert,payload,data_ind_timing_o
ibex_cs_registers,Covert,payload,div_wait_i
ibex_cs_registers,Covert,payload,dside_wait_i
